AreaCode,State ,Area
478,Georgia ,"Macon, Warner Robins"
479,Arkansas ,"Fort Smith, Fayetteville, Rogers"
480,Arizona ,"Mesa, Apache Junction, Chandler"
484,Pennsylvania ,"Allentown, Bethlehem, Chester"
501,Arkansas ,"Little Rock, Benton, Conway"
502,Kentucky ,"Louisville, Frankfort"
503,Oregon ,"Portland, Aloha, Beaverton"
504,Louisiana ,"New Orleans, Chalmette, Harvey"
505,New Mexico ,"Albuquerque, Farmington, Gallup"
506,New Brunswick ,Moncton
507,Minnesota ,"Rochester, Austin, Faribault"
508,Massachusetts ,"Worcester, Attleboro, Barnstable Town"
509,Washington ,"Spokane, Kennewick, Opportunity"
510,California ,"Oakland, Alameda, Berkeley"
512,Texas ,"Austin, Cedar Park, Georgetown"
513,Ohio ,"Cincinnati, Fairfield, Hamilton"
514,Quebec ,Montreal
515,Iowa ,"Des Moines, Ames, Ankeny"
516,New York ,"Hempstead, Baldwin, East Meadow"
517,Michigan ,"Lansing, Adrian, Clinton"
518,New York ,"Albany, Rotterdam, Saratoga Springs"
519,Ontario ,London
520,Arizona ,"Tucson, Casa Adobes, Casa Grande"
530,California ,"Redding, Chico, Davis"
531,Nebraska ,"Omaha, Bellevue, Columbus"
534,Wisconsin ,Eau Claire
539,Oklahoma ,"Tulsa, Bartlesville, Broken Arrow"
540,Virginia ,"Roanoke, Blacksburg, Cave Spring"
541,Oregon ,"Eugene, Albany, Bend"
548,Ontario ,London
551,New Jersey ,"Jersey City, Bayonne, Bergenfield"
557,Missouri ,St. Louis
559,California ,"Fresno, Clovis, Hanford"
561,Florida ,"West Palm Beach, Boca Del Mar, Boca Raton"
562,California ,"Long Beach, Bellflower, Cerritos"
563,Iowa ,"Davenport, Bettendorf, Clinton"
564,Washington ,"Vancouver, Bellingham, Bremerton"
567,Ohio ,"Toledo, Ashland, Bowling Green"
570,Pennsylvania ,"Scranton, Back Mountain, Hazleton"
571,Virginia ,"Arlington, Alexandria, Annandale"
572,Oklahoma ,Oklahoma City
573,Missouri ,"Columbia, Cape Girardeau, Jefferson City"
574,Indiana ,"South Bend, Elkhart, Goshen"
575,New Mexico ,"Las Cruces, Alamogordo, Carlsbad"
579,Quebec ,Granby
580,Oklahoma ,"Lawton, Altus, Ardmore"
581,Quebec ,Quebec
582,Pennsylvania ,Erie
584,Manitoba ,Winnipeg
585,New York ,"Rochester, Brighton, Irondequoit"
586,Michigan ,"Warren, Clinton, Eastpointe"
587,Alberta ,Calgary
601,Mississippi ,"Jackson, Clinton, Hattiesburg"
602,Arizona ,Phoenix
603,New Hampshire ,"Manchester, Concord, Derry"
604,British Columbia ,Vancouver
605,South Dakota ,"Sioux Falls, Aberdeen, Pierre"
606,Kentucky ,Ashland
607,New York ,"Binghamton, Elmira, Ithaca"
608,Wisconsin ,"Madison, Beloit, Fitchburg"
609,New Jersey ,"Trenton, Atlantic City, Ewing"
610,Pennsylvania ,"Allentown, Bethlehem, Chester"
612,Minnesota ,"Minneapolis, Crystal, Golden Valley"
613,Ontario ,Ottawa
614,Ohio ,"Columbus, Dublin, Gahanna"
615,Tennessee ,"Nashville, Brentwood, Franklin"
616,Michigan ,"Grand Rapids, Forest Hills, Holland"
617,Massachusetts ,"Boston, Belmont, Brookline"
618,Illinois ,"Belleville, Alton, Carbondale"
619,California ,"San Diego, Chula Vista, Coronado"
620,Kansas ,"Hutchinson, Dodge City, Emporia"
623,Arizona ,"Phoenix, Avondale, Glendale"
626,California ,"Pasadena, Alhambra, Altadena"
628,California ,"San Francisco, Novato, San Anselmo"
629,Tennessee ,"Nashville, Brentwood, Franklin"
630,Illinois ,"Aurora, Addison, Bartlett"
631,New York ,"Brentwood, Bay Shore, Centereach"
636,Missouri ,"O'Fallon, Ballwin, Chesterfield"
639,Saskatchewan ,Saskatoon
640,New Jersey ,Trenton
641,Iowa ,"Mason City, Marshalltown, Ottumwa"
646,New York ,"New York, Manhattan, New York City"
647,Ontario ,Toronto
650,California ,"San Mateo, Belmont, Burlingame"
651,Minnesota ,"St. Paul, Apple Valley, Cottage Grove"
656,Florida ,Tampa
657,California ,"Anaheim, Brea, Buena Park"
659,Alabama ,Birmingham
660,Missouri ,Sedalia
